Movie Name,Movie Description,Movie Age Rate,Movie Duration,Movie Genres,Movie Directors,Movie Stars,Movie Rate
A Clockwork Orange,"
In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",R,136 min,"Crime, Sci-Fi",Stanley Kubrick,"Malcolm McDowell, 
Patrick Magee, 
Michael Bates, 
Warren Clarke",8.3
Harry Potter and the Deathly Hallows: Part 1,"
As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",PG-13,146 min,"Adventure, Family, Fantasy",David Yates,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Bill Nighy",7.7
Rogue One: A Star Wars Story,"
In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",PG-13,133 min,"Action, Adventure, Sci-Fi",Gareth Edwards,"Felicity Jones, 
Diego Luna, 
Alan Tudyk, 
Donnie Yen",7.8
The Irishman,"
An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.",R,209 min,"Biography, Crime, Drama",Martin Scorsese,"Robert De Niro, 
Al Pacino, 
Joe Pesci, 
Harvey Keitel",7.8
Donnie Darko,"
After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",R,113 min,"Drama, Mystery, Sci-Fi",Richard Kelly,"Jake Gyllenhaal, 
Jena Malone, 
Mary McDonnell, 
Holmes Osborne",8.0
The Social Network,"
As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",PG-13,120 min,"Biography, Drama",David Fincher,"Jesse Eisenberg, 
Andrew Garfield, 
Justin Timberlake, 
Rooney Mara",7.8
Deliverance,"
Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",R,109 min,"Adventure, Drama, Thriller",John Boorman,"Jon Voight, 
Burt Reynolds, 
Ned Beatty, 
Ronny Cox",7.7
Snatch,"
Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",R,102 min,"Comedy, Crime",Guy Ritchie,"Jason Statham, 
Brad Pitt, 
Stephen Graham, 
Vinnie Jones",8.2
American Gangster,"
An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",R,157 min,"Biography, Crime, Drama",Ridley Scott,"Denzel Washington, 
Russell Crowe, 
Chiwetel Ejiofor, 
Josh Brolin",7.8
RRR,"
A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.",Not Rated,187 min,"Action, Drama",S.S. Rajamouli,"N.T. Rama Rao Jr., 
Ram Charan, 
Ajay Devgn, 
Alia Bhatt",7.8
Avengers: Infinity War,"
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",PG-13,149 min,"Action, Adventure, Sci-Fi","Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans",8.4
All Quiet on the Western Front,"
A young German soldier's terrifying experiences and distress on the western front during World War I.",R,148 min,"Action, Drama, War",Edward Berger,"Felix Kammerer, 
Albrecht Schuch, 
Aaron Hilmer, 
Moritz Klaus",7.8
Full Metal Jacket,"
A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.",R,116 min,"Drama, War",Stanley Kubrick,"Matthew Modine, 
R. Lee Ermey, 
Vincent D'Onofrio, 
Adam Baldwin",8.3
Before Sunrise,"
A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",R,101 min,"Drama, Romance",Richard Linklater,"Ethan Hawke, 
Julie Delpy, 
Andrea Eckert, 
Hanno Pöschl",8.1
Mulholland Drive,"
After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",R,147 min,"Drama, Mystery, Thriller",David Lynch,"Naomi Watts, 
Laura Harring, 
Justin Theroux, 
Jeanne Bates",7.9
Halloween,"
Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",R,91 min,"Horror, Thriller",John Carpenter,"Donald Pleasence, 
Jamie Lee Curtis, 
Tony Moran, 
Nancy Kyes",7.7
Reservoir Dogs,"
When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",R,99 min,"Crime, Thriller",Quentin Tarantino,"Harvey Keitel, 
Tim Roth, 
Michael Madsen, 
Chris Penn",8.3
Ratatouille,"
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.",G,111 min,"Animation, Adventure, Comedy","Brad Bird, 
Jan Pinkava","Brad Garrett, 
Lou Romano, 
Patton Oswalt, 
Ian Holm",8.1
Office Space,"
Three company workers who hate their jobs decide to rebel against their greedy boss.",R,89 min,Comedy,Mike Judge,"Ron Livingston, 
Jennifer Aniston, 
David Herman, 
Ajay Naidu",7.6
Blood Diamond,"
A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",R,143 min,"Adventure, Drama, Thriller",Edward Zwick,"Leonardo DiCaprio, 
Djimon Hounsou, 
Jennifer Connelly, 
Kagiso Kuypers",8.0
The Help,"
An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",PG-13,146 min,Drama,Tate Taylor,"Viola Davis, 
Emma Stone, 
Octavia Spencer, 
Bryce Dallas Howard",8.1
"The Good, the Bad and the Ugly","
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.",Approved,178 min,"Adventure, Western",Sergio Leone,"Clint Eastwood, 
Eli Wallach, 
Lee Van Cleef, 
Aldo Giuffrè",8.8
City of God,"
In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",R,130 min,"Crime, Drama","Fernando Meirelles, 
Kátia Lund","Alexandre Rodrigues, 
Leandro Firmino, 
Matheus Nachtergaele, 
Phellipe Haagensen",8.6
What We Do in the Shadows,"
Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.",R,86 min,"Comedy, Horror","Jemaine Clement, 
Taika Waititi","Jemaine Clement, 
Taika Waititi, 
Cori Gonzalez-Macuer, 
Jonny Brugh",7.6
The Hateful Eight,"
In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",R,168 min,"Crime, Drama, Mystery",Quentin Tarantino,"Samuel L. Jackson, 
Kurt Russell, 
Jennifer Jason Leigh, 
Walton Goggins",7.8
True Romance,"
In Detroit, a pop culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.",R,119 min,"Crime, Drama, Romance",Tony Scott,"Christian Slater, 
Patricia Arquette, 
Dennis Hopper, 
Val Kilmer",7.9
The Martian,"
An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",PG-13,144 min,"Adventure, Drama, Sci-Fi",Ridley Scott,"Matt Damon, 
Jessica Chastain, 
Kristen Wiig, 
Kate Mara",8.0
Boogie Nights,"
Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",R,155 min,Drama,Paul Thomas Anderson,"Mark Wahlberg, 
Julianne Moore, 
Burt Reynolds, 
Luis Guzmán",7.9
Apocalypto,"
As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",R,139 min,"Action, Adventure, Drama",Mel Gibson,"Gerardo Taracena, 
Raoul Max Trujillo, 
Dalia Hernández, 
Rudy Youngblood",7.8
Psycho,"
A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",R,109 min,"Horror, Mystery, Thriller",Alfred Hitchcock,"Anthony Perkins, 
Janet Leigh, 
Vera Miles, 
John Gavin",8.5
Green Book,"
A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.",PG-13,130 min,"Biography, Comedy, Drama",Peter Farrelly,"Viggo Mortensen, 
Mahershala Ali, 
Linda Cardellini, 
Sebastian Maniscalco",8.2
Star Trek,"
The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.",PG-13,127 min,"Action, Adventure, Sci-Fi",J.J. Abrams,"Chris Pine, 
Zachary Quinto, 
Simon Pegg, 
Leonard Nimoy",7.9
Iron Man,"
After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",PG-13,126 min,"Action, Adventure, Sci-Fi",Jon Favreau,"Robert Downey Jr., 
Gwyneth Paltrow, 
Terrence Howard, 
Jeff Bridges",7.9
Her,"
In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",R,126 min,"Drama, Romance, Sci-Fi",Spike Jonze,"Joaquin Phoenix, 
Amy Adams, 
Scarlett Johansson, 
Rooney Mara",8.0
500 Days of Summer,"
After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",PG-13,95 min,"Comedy, Drama, Romance",Marc Webb,"Zooey Deschanel, 
Joseph Gordon-Levitt, 
Geoffrey Arend, 
Chloë Grace Moretz",7.7
Zootopia,"
In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",PG,108 min,"Animation, Adventure, Comedy","Byron Howard, 
Rich Moore, 
Jared Bush","Ginnifer Goodwin, 
Jason Bateman, 
Idris Elba, 
Jenny Slate",8.0
Guardians of the Galaxy Vol. 2,"
The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.",PG-13,136 min,"Action, Adventure, Comedy",James Gunn,"Chris Pratt, 
Zoe Saldana, 
Dave Bautista, 
Vin Diesel",7.6
Casino,"
In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",R,178 min,"Crime, Drama",Martin Scorsese,"Robert De Niro, 
Sharon Stone, 
Joe Pesci, 
James Woods",8.2
Deadpool,"
A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",R,108 min,"Action, Comedy",Tim Miller,"Ryan Reynolds, 
Morena Baccarin, 
T.J. Miller, 
Ed Skrein",8.0
V for Vendetta,"
In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",R,132 min,"Action, Drama, Sci-Fi",James McTeigue,"Hugo Weaving, 
Natalie Portman, 
Rupert Graves, 
Stephen Rea",8.2
The Lord of the Rings: The Two Towers,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",PG-13,179 min,"Action, Adventure, Drama",Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom",8.8
1917,"
April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",R,119 min,"Action, Drama, War",Sam Mendes,"Dean-Charles Chapman, 
George MacKay, 
Daniel Mays, 
Colin Firth",8.2
Blue Is the Warmest Colour,"
Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",NC-17,180 min,"Drama, Romance",Abdellatif Kechiche,"Léa Seydoux, 
Adèle Exarchopoulos, 
Salim Kechiouche, 
Aurélien Recoing",7.7
The Worst Person in the World,"
The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",R,128 min,"Comedy, Drama, Romance",Joachim Trier,"Renate Reinsve, 
Anders Danielsen Lie, 
Herbert Nordrum, 
Hans Olav Brenner",7.8
Rio Bravo,"
A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Passed,141 min,"Drama, Western",Howard Hawks,"John Wayne, 
Dean Martin, 
Ricky Nelson, 
Angie Dickinson",8.0
Remember the Titans,"
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.",PG,113 min,"Biography, Drama, Sport",Boaz Yakin,"Denzel Washington, 
Will Patton, 
Wood Harris, 
Ryan Hurst",7.8
Some Like It Hot,"
After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Passed,121 min,"Comedy, Music, Romance",Billy Wilder,"Marilyn Monroe, 
Tony Curtis, 
Jack Lemmon, 
George Raft",8.2
Howl's Moving Castle,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",PG,119 min,"Animation, Adventure, Family",Hayao Miyazaki,"Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa",8.2
The Imitation Game,"
During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",PG-13,114 min,"Biography, Drama, Thriller",Morten Tyldum,"Benedict Cumberbatch, 
Keira Knightley, 
Matthew Goode, 
Allen Leech",8.0
Toy Story,"
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.",G,81 min,"Animation, Adventure, Comedy",John Lasseter,"Tom Hanks, 
Tim Allen, 
Don Rickles, 
Jim Varney",8.3
About Time,"
At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",R,123 min,"Comedy, Drama, Fantasy",Richard Curtis,"Domhnall Gleeson, 
Rachel McAdams, 
Bill Nighy, 
Lydia Wilson",7.8
The Avengers,"
Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.",PG-13,143 min,"Action, Sci-Fi",Joss Whedon,"Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner",8.0
The Sixth Sense,"
Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",PG-13,107 min,"Drama, Mystery, Thriller",M. Night Shyamalan,"Bruce Willis, 
Haley Joel Osment, 
Toni Collette, 
Olivia Williams",8.2
Come and See,"
After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Not Rated,142 min,"Drama, Thriller, War",Elem Klimov,"Aleksey Kravchenko, 
Olga Mironova, 
Liubomiras Laucevicius, 
Vladas Bagdonas",8.4
When Harry Met Sally...,"
Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",R,95 min,"Comedy, Drama, Romance",Rob Reiner,"Billy Crystal, 
Meg Ryan, 
Carrie Fisher, 
Bruno Kirby",7.7
The Revenant,"
A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.",R,156 min,"Action, Adventure, Drama",Alejandro G. Iñárritu,"Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson",8.0
The Hobbit: An Unexpected Journey,"
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",PG-13,169 min,"Adventure, Fantasy",Peter Jackson,"Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis",7.8
Once Upon a Time in America,"
A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",R,229 min,"Crime, Drama",Sergio Leone,"Robert De Niro, 
James Woods, 
Elizabeth McGovern, 
Treat Williams",8.3
Spotlight,"
The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",R,129 min,"Biography, Crime, Drama",Tom McCarthy,"Mark Ruffalo, 
Michael Keaton, 
Rachel McAdams, 
Liev Schreiber",8.1
Cast Away,"
A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.",PG-13,143 min,"Adventure, Drama, Romance",Robert Zemeckis,"Tom Hanks, 
Helen Hunt, 
Paul Sanchez, 
Lari White",7.8
Frankenstein,"
Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.",Passed,70 min,"Drama, Horror, Sci-Fi",James Whale,"Colin Clive, 
Mae Clarke, 
Boris Karloff, 
John Boles",7.8
Hot Fuzz,"
A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",R,121 min,"Action, Comedy, Mystery",Edgar Wright,"Simon Pegg, 
Nick Frost, 
Martin Freeman, 
Bill Nighy",7.8
Dead Poets Society,"
Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.",PG,128 min,"Comedy, Drama",Peter Weir,"Robin Williams, 
Robert Sean Leonard, 
Ethan Hawke, 
Josh Charles",8.1
Willy Wonka & the Chocolate Factory,"
A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.",G,100 min,"Family, Fantasy, Musical",Mel Stuart,"Gene Wilder, 
Jack Albertson, 
Peter Ostrum, 
Roy Kinnear",7.8
Bohemian Rhapsody,"
The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",PG-13,134 min,"Biography, Drama, Music",Bryan Singer,"Rami Malek, 
Lucy Boynton, 
Gwilym Lee, 
Ben Hardy",7.9
Casablanca,"
A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.",PG,102 min,"Drama, Romance, War",Michael Curtiz,"Humphrey Bogart, 
Ingrid Bergman, 
Paul Henreid, 
Claude Rains",8.5
The Girl with the Dragon Tattoo,"
Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.",R,158 min,"Crime, Drama, Mystery",David Fincher,"Daniel Craig, 
Rooney Mara, 
Christopher Plummer, 
Stellan Skarsgård",7.8
CODA,"
As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",PG-13,111 min,"Comedy, Drama, Music",Sian Heder,"Emilia Jones, 
Marlee Matlin, 
Troy Kotsur, 
Daniel Durant",8.0
The Incredibles,"
While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",PG,115 min,"Animation, Action, Adventure",Brad Bird,"Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee",8.0
Rocky,"
A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.",PG,120 min,"Drama, Sport",John G. Avildsen,"Sylvester Stallone, 
Talia Shire, 
Burt Young, 
Carl Weathers",8.1
Shrek,"
A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",PG,90 min,"Animation, Adventure, Comedy","Andrew Adamson, 
Vicky Jenson","Mike Myers, 
Eddie Murphy, 
Cameron Diaz, 
John Lithgow",7.9
The Wizard of Oz,"
Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",PG,102 min,"Adventure, Family, Fantasy","Victor Fleming, 
George Cukor, 
Mervyn LeRoy, 
Norman Taurog, 
Richard Thorpe, 
King Vidor","Judy Garland, 
Frank Morgan, 
Ray Bolger, 
Bert Lahr",8.1
Midnight in Paris,"
While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",PG-13,94 min,"Comedy, Fantasy, Romance",Woody Allen,"Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller",7.7
The Perks of Being a Wallflower,"
Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.",PG-13,103 min,Drama,Stephen Chbosky,"Logan Lerman, 
Emma Watson, 
Ezra Miller, 
Paul Rudd",7.9
Taken,"
A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",PG-13,90 min,"Action, Crime, Thriller",Pierre Morel,"Liam Neeson, 
Maggie Grace, 
Famke Janssen, 
Leland Orser",7.8
Into the Wild,"
After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",R,148 min,"Adventure, Biography, Drama",Sean Penn,"Emile Hirsch, 
Vince Vaughn, 
Catherine Keener, 
Marcia Gay Harden",8.1
Die Hard,"
A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.",R,132 min,"Action, Thriller",John McTiernan,"Bruce Willis, 
Alan Rickman, 
Bonnie Bedelia, 
Reginald VelJohnson",8.2
Jojo Rabbit,"
A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.",PG-13,108 min,"Comedy, Drama, War",Taika Waititi,"Roman Griffin Davis, 
Thomasin McKenzie, 
Scarlett Johansson, 
Taika Waititi",7.9
Memories of Murder,"
In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Not Rated,132 min,"Crime, Drama, Mystery",Bong Joon Ho,"Song Kang-ho, 
Kim Sang-kyung, 
Roe-ha Kim, 
Jae-ho Song",8.1
Mr. Nobody,"
A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",R,141 min,"Drama, Fantasy, Romance",Jaco Van Dormael,"Jared Leto, 
Sarah Polley, 
Diane Kruger, 
Linh-Dan Pham",7.7
"Three Billboards Outside Ebbing, Missouri","
A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.",R,115 min,"Comedy, Crime, Drama",Martin McDonagh,"Frances McDormand, 
Woody Harrelson, 
Sam Rockwell, 
Caleb Landry Jones",8.1
Star Wars: Episode III - Revenge of the Sith,"
Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",PG-13,140 min,"Action, Adventure, Fantasy",George Lucas,"Hayden Christensen, 
Natalie Portman, 
Ewan McGregor, 
Samuel L. Jackson",7.6
Casino Royale,"
After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",PG-13,144 min,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, 
Eva Green, 
Judi Dench, 
Jeffrey Wright",8.0
Predator,"
A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.",R,107 min,"Action, Adventure, Horror",John McTiernan,"Arnold Schwarzenegger, 
Carl Weathers, 
Kevin Peter Hall, 
Elpidia Carrillo",7.8
Silver Linings Playbook,"
After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",R,122 min,"Comedy, Drama, Romance",David O. Russell,"Bradley Cooper, 
Jennifer Lawrence, 
Robert De Niro, 
Jacki Weaver",7.7
Amélie,"
Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",R,122 min,"Comedy, Romance",Jean-Pierre Jeunet,"Audrey Tautou, 
Mathieu Kassovitz, 
Rufus, 
Lorella Cravotta",8.3
Life Is Beautiful,"
When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",PG-13,116 min,"Comedy, Drama, Romance",Roberto Benigni,"Roberto Benigni, 
Nicoletta Braschi, 
Giorgio Cantarini, 
Giustino Durano",8.6
Star Wars: Episode VII - The Force Awakens,"
As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",PG-13,138 min,"Action, Adventure, Sci-Fi",J.J. Abrams,"Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Domhnall Gleeson",7.8
Black Hawk Down,"
The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",R,144 min,"Action, Drama, History",Ridley Scott,"Josh Hartnett, 
Ewan McGregor, 
Tom Sizemore, 
Eric Bana",7.7
Trainspotting,"
Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",R,93 min,Drama,Danny Boyle,"Ewan McGregor, 
Ewen Bremner, 
Jonny Lee Miller, 
Kevin McKidd",8.1
Kick-Ass,"
Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",R,117 min,"Action, Comedy, Crime",Matthew Vaughn,"Aaron Taylor-Johnson, 
Nicolas Cage, 
Chloë Grace Moretz, 
Garrett M. Brown",7.6
Thor: Ragnarok,"
Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",PG-13,130 min,"Action, Adventure, Comedy",Taika Waititi,"Chris Hemsworth, 
Tom Hiddleston, 
Cate Blanchett, 
Mark Ruffalo",7.9
Atonement,"
Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",R,123 min,"Drama, Mystery, Romance",Joe Wright,"Keira Knightley, 
James McAvoy, 
Brenda Blethyn, 
Saoirse Ronan",7.8
Coco,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",PG,105 min,"Animation, Adventure, Drama","Lee Unkrich, 
Adrian Molina","Anthony Gonzalez, 
Gael García Bernal, 
Benjamin Bratt, 
Alanna Ubach",8.4
A Beautiful Mind,"
After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",PG-13,135 min,"Biography, Drama",Ron Howard,"Russell Crowe, 
Ed Harris, 
Jennifer Connelly, 
Christopher Plummer",8.2
Hidden Figures,"
The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.",PG,127 min,"Biography, Drama, History",Theodore Melfi,"Taraji P. Henson, 
Octavia Spencer, 
Janelle Monáe, 
Kevin Costner",7.8
RoboCop,"
In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",R,102 min,"Action, Crime, Sci-Fi",Paul Verhoeven,"Peter Weller, 
Nancy Allen, 
Dan O'Herlihy, 
Ronny Cox",7.6
